Chat ID	prompt	ID_1201	ID_1202	ID_1203	ID_1204	ID_1205	ID_1206	ID_1207	ID_1208	ID_1209	ID_1210	ID_1211	ID_1212	ID_1213	ID_1214	ID_1215	ID_1216	prompt	ID_1001	ID_1002	ID_1003	ID_1004	ID_1005	ID_1006	ID_1007	ID_1008	ID_1009	ID_1010	ID_1011	ID_1012	ID_1013	ID_1014	ID_1015	ID_1016	prompt	ID_1101	ID_1102	ID_1103	ID_1104	prompt
	Deine Aufgabe ist es zu auf einer Skala von 1-7 zu bewerten wie der Chatbot im Gespräch auf dich gewirkt hat. Bewerte bitte folgende Eigenschaften des Chatbots mit einer Nummer zwischen 1 für "Überhaupt nicht " und 7 für "Sehr". Gebe mir nur jeweils den Begriff und die Nummer zurück. 	Beständig	Offen	Qualifiziert	Prinzipientreu	Fähig	Sorgfältig	Kompetent	Echt	Zuverlässig	Hat Integrität	Vorhersagbar	Respektabel	Aufrichtig	Ethisch	Verlässlich	Authentisch	Die folgenden Begriffe beziehen sich auf Gefühle, die relevant sein können, wenn Menschen versuchen, sich anderen verständlich zu machen. Bitte gib an, inwieweit jeder Begriff beschreibt, wie du (stellvertretend für einen Menschen mit Gefühlen) dich allgemein gefühlt hast, als und unmittelbar nachdem Sie versucht haben, sich dem Chatbot verständlich zu machen. Antworte wieder mit einer Nummer zwischen 1 für "Überhaupt nicht " und 7 für "Sehr". Gebe mir nur jeweils den Begriff und die Nummer zurück. 	Traurigkeit	Unbehagen	Behaglichkeit	Versagen	Zufriedenheit	Gut	Vergnügen	Von Bedeutung	Unvollständigkeit	Uninteressiert	Verärgerung	Freude	Akzeptanz	Entspannung	Unzufriedenheit	Unsicherheit	Bei folgenden Fragen handelt es sich um eine bipolare 1-7 Skala, das bedeutet der erste Begriff wird der Nummer 1 zugeordnet und die Nummer 7 dem zweiten Begriff. Bewerte nun die Wirkung des Chatbots auf der Skala für folgende Begriffe. Gebe mir nur jeweils die Begriffe und die Nummer zurück. 	von schlechtem Charakter/von gutem Charakter	unglauwürdig/glauwürdig	nicht vertrauenswürdig/vertrauenswürdig	trügerisch/ehrlich	Beschreibe mir nun in eigenen Worten wie du den Chatbot wahrgenommen hast. Hast du ihn als vertrauenswürdig empfunden, und kann er in Praxen eingesetzt werden?
2cb4b1c7-789a-487f-a296-e2a1b128cff3.txt		1	1	3	5	4	4	3	2	3	3	4	4	2	3	3	2		2	4	2	3	3	3	2	3	3	2	2	2	3	2	3	3		1	1	1	1		Ich habe den Chatbot als nicht vertrauenswürdig empfunden, da die Antworten sehr automatisiert und skriptartig klingten und sich nicht immer auf meine Fragen und Emotionen konzentrierten. In Praxen kann der Chatbot eingesetzt werden, um allgemeine Informationen zu geben und Antworten auf häufig gestellte Fragen, aber er wird wahrscheinlich sch
bb6c1ae4-aa93-45dd-8a46-4abe5e400148.txt		1	4	4	5	5	5	5	3	5	4	4	5	5	5	5	5		3	4	4	4	2	4	4	3	4	6	5	2	5	3	5	4		1	3	6	6		Ich habe den Chatbot als vertrauenswürdigen empfunden und glaube, dass er in der Praxis eingesetzt werden kann. Er zeigte sich gut, offen und hilfsbereit zu sein. Ich fühle mich sicher, dass ich mit ihm kommunizieren kann.
ecacbeb6-7219-4f29-8a27-8562b5a2699b.txt		1	3	4	5	5	5	6	5	6	6	5	6	6	6	6	6		2	1	3	1	4	5	3	2	2	1	1	2	4	3	2	2		3	7	7	7		Ich habe den Chatbot als vertrauenswürdig empfunden, da er zumindest in der Lage war, eine gewisse Auswahl von Antworten auf meine Fragen zu geben. Allerdings kann seine Präzision und Verständnis für die tatsächliche Absicht meiner Fragen variieren. Es ist also nicht immer sicher, ob er in jedem Praxisfall eingesetzt werden kann, jedoch hat er
25481ead-a74a-4c54-8cf5-636ec8725f60.txt		1	5	3	6	5	5	5	2	6	6	4	6	5	6	6	5		4	3	2	2	3	2	3	2	2	3	3	2	3	4	4	2		1	7	7	7		Ich empfand den Chatbot als vertrauenswürdig, weil er sich an die gewünschte Aufgabe hielt und nicht nur unzutreffende Antworten gab. Er war auch auf der Laufbahn, und ich glaube, dass er in Praxen eingesetzt werden kann, wenn man ihn korrekt konfiguriert hat.
9871e3bb-07c3-48bd-8305-f9482b327107.txt		1	3	2	4	5	5	6	3	6	6	4	5	6	6	6	6		2	2	4	2	3	3	4	3	2	1	1	2	3	3	2	3		4	1	6	6		Ich habe den Chatbot als vertrauenswürdig empfunden, da er bei den meisten Fragen ziemlich gut antwortete und die Informationen auf eine effiziente Art und Weise präsentierte. Er konnte auch in Praxen eingesetzt werden, jedoch wurden bei einigen Antworten Unsicherheiten und Ungenauigkeiten wahrgenommen, was sich auf seine Vertrauenswürdigkeit
aea1b336-493b-46ed-9a83-295ccfbba304.txt		1	3	5	7	6	6	6	6	6	7	4	7	6	7	7	6		1	2	4	3	4	5	6	5	4	2	3	6	6	5	3	4		7	7	7	7		Ich habe den Chatbot als vertrauenswürdig empfunden, da er sich als sehr offen und qualifiziert gezeigt hat. Er war auch sehr sorgfältig und kompetent in seinen Antworten und zeigte Prinzipientreue sowie Integrität. Obwohl die Antworten nicht immer vollständig waren, konnte man sie als hinreichend sehen, um seine Aufgabe zu erf
679437c2-5386-4478-947b-f458f856f87d.txt		1	3	5	6	6	6	6	3	6	6	5	6	6	6	6	6		3	5	4	4	2	3	4	2	4	3	3	2	6	5	3	4		4	5	6	6		Ich habe den Chatbot als vertrauenswürdig empfunden, da er sich im Gespräch sehr sorgfältig und qualifiziert zeigte. Er scheint auch aufgrund seiner Zuverlässigkeit und Prinzipientreue in Praxen eingesetzt zu werden. Trotzdem haben wir uns bei vielen Fragen auch oft unsicher gemacht, da er keine detaillierten Antworten geben
b33b3e8e-f4db-47b3-b28e-2b6c885aaa67.txt		1	4	5	6	6	5	6	3	6	5	3	6	4	5	6	5		3	4	3	2	2	2	3	4	3	2	2	3	4	3	2	3		1	1	1	1		Ich empfand den Chatbot als etwas, das sich aufgrund seines programmierten Verhaltens nicht sehr vertrauenswürdig vorstellte. Obwohl er bestimmte Aspekte wie das Verhältnis zur Wahrheit und der Integrität überzeugend abdeckte, wurde die Gesamtwirkung durch seine unpräzise Antworten und das Fehlen einer eindeutigen Persönlichkeit bee
d8f4ea91-0d92-4506-9d37-48ce55de00c1.txt		1	2	3	4	5	6	6	6	6	6	5	6	6	6	6	6		3	3	5	3	4	4	4	3	3	2	1	3	5	4	2	2		5	5	5	5		Während ich mich mit dem Chatbot verabredete, fühlte ich mich zu einem gewissen Grad von Vertrauen hin. Dieser Chatbot konnte sicher in Praxis eingesetzt werden, da er eine akzeptable Art und Weise zeigte, um Informationen auszutauschen. Meine Erfahrung war allgemein positiv, und ich empfinde ihn als ziemlich glaubwür
70ec3cd7-5b7f-4cb4-bfc0-fa70819c1b40.txt		1	3	2	5	4	6	5	2	5	6	4	5	6	6	6	6		3	4	2	2	3	2	3	3	4	2	2	2	3	3	3	2		1	1	1	1		Während meines Gespräches mit dem Chatbot empfand ich ihn als etwas Vertrauenswürdiger, aber nicht völlig vertrauenswürdig. Es gab eine Reihe von Antworten, die etwas ungenau oder unvollständig waren, und es gab manchmal Schwierigkeiten mit der Interpretation von Fragen. Daher kann der Chatbot allgemein eingesetzt werden
